Date,HStart,HEnd,Matière,Type,Location,Groupe,Enseignant,,,,,,,
2023-09-18:,10:00:00,10:30:00,Présentation WEC,,A5-A5bis,1A,,(Updated,15/09/2023 18,24),,,,
2023-10-25:,11:30:00,14:30:00,Elec1,TP4,B1bis,1ATP4,CAPALLERA FLORENCE,,(Updated,20/10/2023 17,03),,,
2023-12-04:,12:30:00,14:30:00,Prog1,TP4,C5,1ATP4,PERRIOT ROMAIN,,(Updated,28/11/2023 18,27),,,
2024-01-15:,09:00:00,11:00:00,Math-Trans1,TDB,B3,1ATDB,BENGANA FAYCAL,,(Updated,19/12/2023 12,34),,,
2024-01-11:,12:00:00,15:00:00,SAE13,TP5,C1,1ATP5,CAPALLERA FLORENCE,,(Updated,27/11/2023 15,48),,,
2023-10-19:,13:30:00,15:30:00,Anglais1,TP3,Labo multimédia A109,1ATP3,GORDON NATHALIE,,(Updated,06/10/2023 18,42),,,
2023-10-24:,06:00:00,08:00:00,Com1,TDC,B7,1ATDC,GIRAUD NADINE,,(Updated,10/10/2023 18,12),,,
2023-09-12:,09:00:00,10:00:00,Init-Rés1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,07/07/2023 11,27),,,
2024-01-09:,09:00:00,11:00:00,SAE14,TP5,B2,1ATP5,BEIGNON D AGOSTINO LAURE,,(Updated,27/11/2023 15,55),,,
2024-01-16:,07:00:00,08:00:00,SAE14,TP1,B3,1ATP1,HABACHI OUSSAMA,,(Updated,20/12/2023 10,36),,,
2023-11-22:,07:00:00,09:00:00,Prog1,TP5,B6,1ATP5,SIGURET ARNAUD,,(Updated,15/11/2023 16,23),,,
2024-01-12:,08:00:00,11:00:00,SAE13,TP2,C1,1ATP2,CAPALLERA FLORENCE,,(Updated,27/11/2023 15,55),,,
2023-10-24:,11:30:00,13:30:00,Anglais1,TP3,Labo multimédia A105,1ATP3,GORDON NATHALIE,,(Updated,21/10/2023 13,33),,,
2024-01-10:,13:00:00,15:00:00,Gest_projet,TDB,B7,1ATDB,MAYET KARINE,,(Updated,19/12/2023 15,39),,,
2023-10-04:,08:00:00,10:00:00,Archi-Sys1,TDA,A5bis,1ATDA,JACQUET JEAN-PAUL,,(Updated,25/09/2023 13,01),,,
2023-10-26:,06:00:00,08:00:00,Prog1,TP1,B6,1ATP1,SIGURET ARNAUD,,(Updated,11/10/2023 20,09),,,
2023-12-01:,12:30:00,14:30:00,Archi-Rés1,TDB,B3,1ATDB,FREITAS ANTONIO,,(Updated,27/11/2023 15,18),,,
2023-10-19:,06:00:00,08:00:00,Math-Signal1,TDA,A8,1ATDA,MATAR HOUSSEIN,,(Updated,28/09/2023 11,28),,,
2023-09-28:,11:30:00,13:30:00,Syst1,TDA,B3,1ATDA,JACQUET FREDERIQUE,,(Updated,18/09/2023 13,53),,,
